"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"company";"C";"EnBW Etzel Speicher";"1.6801";"79.09";"0";"0";"0";"0";"0";"2.1243";"54";"94.5";"0";"0";"0"
"facility";"C";"VGS UGS Etzel (EnBW)";"1.6801";"79.09";"0";"0";"0";"0";"0";"2.1243";"54";"94.5";"0";"0";"0"
"company";"C";"Eneco Gasspeicher";"1.265";"88.14";"-0.34";"0";"0";"4.18";"9.1";"1.4352";"46.8";"93.6";"0";"0";"0"
"facility";"C";"UGS Enschede - Epe (Eneco)";"1.265";"88.14";"-0.34";"0";"0";"4.18";"9.1";"1.4352";"46.8";"93.6";"0";"0";"0"
"company";"C";"enercity";"1.9275";"85.7";"0.44";"0";"0";"0";"20.9";"2.249";"19.7";"73.92";"2.249";"0";"0"
"facility";"C";"UGS Ronnenberg-Empelde";"1.9275";"85.7";"0.44";"0";"0";"0";"20.9";"2.249";"19.7";"73.92";"2.249";"0";"0"
"company";"C";"Enovos Storage";"0.8719";"90.1";"-0.56";"0";"0";"0";"5.4";"0.9677";"6.45";"16.13";"1.1007";"0";"0"
"facility";"C";"UGS Frankenthal";"0.8719";"90.1";"-0.56";"0";"0";"0";"5.4";"0.9677";"6.45";"16.13";"1.1007";"0";"0"
"company";"E";"Equinor Storage Deutschland";"2.1082";"94.14";"-0.32";"0";"0";"0";"7.2";"2.2395";"210.67";"361.15";"2.2395";"0";"0"
"facility";"E";"UGS Etzel EGL (Equinor Storage Deutschland)";"2.1082";"94.14";"-0.32";"0";"0";"0";"7.2";"2.2395";"210.67";"361.15";"2.2395";"0";"0"
"company";"C";"Erdgasspeicher Peissen";"4.9334";"81.36";"-1.12";"0";"0";"0";"68.2";"6.0634";"134.58";"269.16";"0";"0";"0"
"facility";"C";"UGS Katharina";"4.9334";"81.36";"-1.12";"0";"0";"0";"68.2";"6.0634";"134.58";"269.16";"0";"0";"0"
"company";"C";"EKB ****";"10.4845";"96.95";"-0.42";"0";"0";"0";"45.6";"10.8141";"0";"0";"10.8141";"0";"0"
"facility";"C";"UGS Etzel EKB";"10.4845";"96.95";"-0.42";"0";"0";"0";"45.6";"10.8141";"0";"0";"10.8141";"0";"0"
"company";"C";"EWE Gasspeicher";"14.5674";"81.03";"-0.68";"0";"0";"12";"134";"17.9776";"241.34";"504.48";"17.9776";"0";"0"
"facility";"C";"EWE H-Gas Zone";"2.594";"79.52";"-0.18";"0";"0";"0";"5.8";"3.2619";"41.4";"82.8";"3.2619";"0";"0"
"facility";"C";"UGS EWE-Zone L";"3.7918";"63.1";"-1.16";"0";"0";"0";"69.6";"6.0088";"68.21";"188.16";"6.0088";"0";"0"
"facility";"C";"UGS Jemgum H (EWE)";"2.9427";"86.5";"-0.66";"0";"0";"12";"34.3";"3.4019";"55.2";"69";"3.4019";"0";"0"
"facility";"N";"UGS Nüttermoor H aggregated data prior to 7 April 2016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-2";"1.6422";"91.87";"-1.37";"0";"0";"0";"24.3";"1.7875";"24.84";"49.68";"1.7875";"0";"0"
"facility";"C";"UGS Nüttermoor H-3";"2.6856";"106.64";"0";"0";"0";"0";"0";"2.5184";"41.04";"82.08";"2.5184";"0";"0"
"facility";"N";"UGS Nüttermoor L GUD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Rüdersdorf H";"0.9112";"91.21";"0";"0";"0";"0";"0";"0.999";"10.66";"32.76";"0.999";"0";"0"
"company";"C";"HanseWerk";"1.7027";"67.33";"-0.16";"0";"0";"0";"4.1";"2.529";"48.38";"80.64";"2.529";"0";"0"
"facility";"C";"UGS Kraak";"1.7027";"67.33";"-0.16";"0";"0";"0";"4.1";"2.529";"48.38";"80.64";"2.529";"0";"0"
"company";"C";"KGE";"1.6306";"79.1";"-0.73";"0";"0";"0";"15.1";"2.0613";"41.04";"109.44";"0";"0";"0"
"facility";"C";"UGS Epe (KGE)";"1.6306";"79.1";"-0.73";"0";"0";"0";"15.1";"2.0613";"41.04";"109.44";"0";"0";"0"
"company";"E";"MET Speicher";"2.2531";"72.66";"-1.37";"0";"0";"0";"42.4";"3.101";"80.59";"97.37";"3.101";"0";"0"
"facility";"E";"UGS Etzel ESE (MET)";"1.0421";"69.89";"-1.15";"0";"0";"0";"17.2";"1.491";"55.3";"46.78";"1.491";"0";"0"
"facility";"E";"UGS Reckrod";"1.2111";"75.22";"-1.57";"0";"0";"0";"25.2";"1.61";"25.3";"50.59";"1.61";"0";"0"
"company";"C";"MND Energy Storage Germany";"1.5759";"67.78";"-1.21";"0";"0";"3.94";"32.2";"2.325";"32.74";"55.44";"0";"0";"0"
"facility";"N";"UGS Haehnlein (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stockstadt (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Zone MND ESG (UGS Stockstadt + UGS Haehnlein)";"1.5759";"67.78";"-1.21";"0";"0";"3.94";"32.2";"2.325";"32.74";"55.44";"0";"0";"0"
"company";"N";"N-ERGIE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"E";"NAFTA Speicher Inzenham";"2.894";"58.77";"-1.23";"0";"0";"0";"60.6";"4.924";"45.79";"66.49";"4.9236";"0.0004";"0"
"facility";"E";"UGS Inzenham-West";"2.894";"58.77";"-1.23";"0";"0";"0";"60.6";"4.924";"45.79";"66.49";"4.9236";"0.0004";"0"
"company";"C";"NUON Epe Gasspeicher";"2.5409";"91.82";"-0.79";"0";"0";"0";"39.5";"2.7674";"84.97";"141.61";"2.7674";"0";"0"
"facility";"C";"UGS Enschede - Epe (Nuon)";"2.5409";"91.82";"-0.79";"0";"0";"0";"39.5";"2.7674";"84.97";"141.61";"2.7674";"0";"0"
"company";"C";"OMV Gas Storage Germany";"3.9345";"79.73";"-0.36";"0";"0";"0";"17.5";"4.935";"71.76";"118.56";"5.245";"0";"0"
"facility";"C";"UGS Etzel ESE (OMV)";"3.9345";"79.73";"-0.36";"0";"0";"0";"17.5";"4.935";"71.76";"118.56";"5.245";"0";"0"
"company";"C";"RWE Gas Storage West";"12.6375";"72.64";"-0.42";"0";"0";"0";"73.3";"17.3973";"287.38";"725.83";"0";"0";"0"
"facility";"C";"INNEXPOOL-RWEGSW";"5.16";"81.36";"-0.33";"0";"0";"0";"20.8";"6.3424";"105.08";"329.07";"0";"0";"0"
"facility";"N";"UGS Epe-H-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Epe-L-RWEGSW";"1.6113";"75.23";"-0.32";"0";"0";"0";"6.8";"2.1418";"49.24";"98.48";"0";"0";"0"
"facility";"C";"UGS Epe-NL-RWEGSWEST";"0.94";"49.85";"-0.67";"0";"0";"0";"12.8";"1.8858";"47.84";"119.6";"0";"0";"0"
"facility";"N";"UGS Hoogstede-Kalle (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS STASSFURT-RWEGSWEST";"4.9262";"70.1";"-0.47";"0";"0";"0";"33";"7.0274";"85.22";"178.68";"0";"0";"0"
"facility";"N";"UGS Xanten-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Storengy Deutschland";"13.9804";"74.89";"-0.9";"0";"0";"0.36";"167.8";"18.668";"234.94";"528.13";"18.668";"0";"0"
"facility";"C";"UGS Fronhofen";"0.1063";"99.37";"0";"0";"0";"0";"0";"0.107";"5.35";"8.03";"0.107";"0";"0"
"facility";"C";"UGS Harsefeld";"0.8651";"68.55";"-0.65";"0";"0";"0.36";"8.6";"1.262";"24.67";"81.72";"1.262";"0";"0"
"facility";"C";"UGS Lesum";"1.3918";"78.99";"-0.09";"0";"0";"0";"1.5";"1.762";"28.48";"58.5";"1.762";"0";"0"
"facility";"C";"UGS Peckensen";"3.0102";"77.2";"-1.61";"0";"0";"0";"62.6";"3.899";"84.67";"231.96";"3.899";"0";"0"
"facility";"C";"UGS Schmidhausen";"1.2117";"69.64";"-1.17";"0";"0";"0";"20.3";"1.74";"10.75";"40.32";"1.74";"0";"0"
"facility";"C";"UGS Uelsen";"7.3953";"74.71";"-0.76";"0";"0";"0";"74.8";"9.898";"81.03";"107.6";"9.898";"0";"0"
"company";"C";"SWKiel Speicher";"0.6321";"99.82";"0";"0";"0";"0";"0";"0.6333";"11.52";"27.12";"0.6333";"0";"0"
"facility";"N";"UGS Kiel Rönne (historical data Hansewerk prior to 01/04/2020)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Kiel-Rönne";"0.6321";"99.82";"0";"0";"0";"0";"0";"0.6333";"11.52";"27.12";"0.6333";"0";"0"
"company";"E";"TEP";"0.6047";"66.43";"-1.14";"0";"0";"0";"10.5";"0.9102";"10.8";"13.32";"0";"0";"0"
"facility";"E";"TEP Storage Hub (Allmenhausen, Kirchheiligen)";"0.6047";"66.43";"-1.14";"0";"0";"0";"10.5";"0.9102";"10.8";"13.32";"0";"0";"0"
"facility";"N";"UGS Allmenhausen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Trianel Gasspeicher Epe";"1.9041";"89.8";"-0.13";"0";"0";"0";"2.7";"2.1203";"82.66";"165.31";"2.3303";"-0.21";"0"
"facility";"C";"UGS Epe Trianel";"1.9041";"89.8";"-0.13";"0";"0";"0";"2.7";"2.1203";"82.66";"165.31";"2.3303";"-0.21";"0"
"company";"E";"Uniper Energy Storage";"53.3455";"86.71";"-0.61";"0";"0";"0";"373.1";"61.5226";"1295.88";"1766.64";"61.5215";"0.573";"0"
"facility";"E";"UGS Bierwang";"9.3889";"98.64";"-0.02";"0";"0";"0";"1.8";"9.518";"274.8";"357.24";"9.518";"0";"0"
